58:58.6,-18:44:47.06,AT 2024qtn
22:49.1,-20:21:01.24,AT 2022rmk
42:23.2,+29:42:02.91,AT 2022oku
25:33.7,+45:41:12.45,AT 2022fnm
22:59.9,-21:14:15.05,AT 2021ablz
42:34.3,+34:26:14.60,AT 2021blu
08:03.5,+01:08:41.61,AT 2020zmn
37:29.9,-24:30:04.14,AT 2020pju
48:38.9,+33:25:03.18,AT 2020jev
42:43.1,-43:18:16.53,AT 2020agp
02:42.7,+01:59:03.40,AT 2019wbg
53:11.2,+04:11:47.00,AT 2019udc
08:40.1,-60:42:51.62,AT 2019ooa
55:57.1,-43:26:18.99,AT 2019oet
27:51.8,+29:05:58.92,AT 2019mil
51:11.8,+05:50:31.31,AT 2019ahd
20:22.0,+41:38:33.63,AT 2018kle
14:08.0,-23:10:09.71,AT 2018htr
03:23.2,-26:10:55.88,AT 2018akx
14:17.1,+35:25:43.64,AT 2017dau
13:13.4,+45:59:29.54,AT 2017be
35:52.3,+27:55:55.50,AT 2016blu
55:04.9,-37:41:43.69, 2010da