ra,dec,name
11.625,10.333122222222222,SN 2025kkb
49.115,78.85564444444444,SN 2025izy
41.61833333333333,-3.177208333333333,SN 2025imr
41.60333333333333,-11.457938888888888,SN 2025idz
57.32833333333333,6.6191361111111116,SN 2025fpp
22.136666666666667,5.5071972222222225,SN 2025fmt
26.895,69.64028888888889,SN 2025esr
2.7316666666666665,-20.751666666666665,SN 2025al
36.375,42.025638888888885,SN 2024agkj
9.225,43.951,SN 2024agir
55.11333333333334,-39.339275,SN 2024afyo
49.20166666666667,-18.10350277777778,SN 2024afav
24.285,27.71698333333333,SN 2024aezo
36.803333333333335,-57.355175,SN 2024aegq
46.71,-16.606916666666667,SN 2024adpb
10.95,42.20151944444445,SN 2024adhq
53.24,53.994258333333335,SN 2024adfq
30.861666666666668,-18.430211111111113,SN 2024abre
18.196666666666665,26.0565,SN 2024xsk
58.62,24.310380555555557,SN 2024xny
29.421666666666667,-33.75351111111111,SN 2024vhe
7.878333333333334,3.5112055555555557,SN 2024rmj
44.471666666666664,1.5646666666666667,SN 2024qxg
32.915,-27.756711111111112,SN 2024nrw
28.85,13.440630555555556,SN 2024luu
57.06666666666667,25.53547777777778,SN 2024lch
10.153333333333332,6.7516388888888885,SN 2024jwx
21.98,62.80631944444444,SN 2024jlc
41.955,-52.58149166666667,SN 2024fwk
31.475,7.466819444444445,SN 2024ezq
50.55,12.080663888888889,SN 2024edp
49.906666666666666,13.90066388888889,SN 2024dde
36.596666666666664,33.40115,SN 2024dbb
8.571666666666667,-0.5066138888888889,SN 2024byt
19.506666666666668,22.17476388888889,SN 2024bhu
34.388333333333335,-0.13555,SN 2024amf
21.988333333333333,-12.506130555555556,SN 2024ahr
43.43666666666667,20.898038888888887,SN 2024aef
14.185,-25.131891666666668,SN 2024ut
14.895,9.429549999999999,SN 2023acco
32.36833333333333,-3.322361111111111,SN 2023aase
30.695,2.9452472222222226,SN 2023aafk
7.446666666666666,-42.65867222222222,SN 2023zzn
7.795,43.85100833333333,SN 2023xci
43.145,-23.791908333333335,SN 2023wwx
39.145,-11.249416666666665,SN 2023wml
22.605,-24.462369444444445,SN 2023vek
23.311666666666667,-21.054719444444444,SN 2023vco
50.86333333333333,-60.405055555555556,SN 2023utm
3.288333333333333,-23.67985277777778,SN 2023taz
19.933333333333334,25.915588888888887,SN 2023szi
13.67,69.72746944444445,SN 2023rgo
50.138333333333335,53.660288888888886,SN 2023qvl
25.835,-9.1578,SN 2023ous
18.358333333333334,1.528713888888889,SN 2023hoz
6.911666666666667,37.97653888888889,SN 2023cmx
58.99166666666667,69.56422222222221,SN 2023aec
12.985,68.81259722222222,SN 2022acsx
24.031666666666666,-13.524722222222223,SN 2022acch
3.9033333333333333,15.772152777777778,SN 2022abtm
6.081666666666667,-46.72138888888889,SN 2022abdu
44.873333333333335,23.012180555555556,SN 2022aawb
12.696666666666667,7.316652777777778,SN 2022xgc
29.175,-6.771411111111111,SN 2022vxc
48.97,-26.376911111111113,SN 2022pjq
37.766666666666666,40.08555277777778,SN 2022ojm
21.061666666666667,14.848541666666668,SN 2022npq
36.645,61.55518333333333,SN 2022lxd
43.035,18.07666111111111,SN 2022ljr
28.68,20.480241666666664,SN 2022ivr
57.99333333333333,41.07835,SN 2022gyv
20.178333333333335,50.3951,SN 2022ful
50.465,-6.296708333333333,SN 2022le
15.965,-19.29221111111111,SN 2021ahpl
9.241666666666667,-6.053852777777777,SN 2021zcl
23.293333333333333,50.145408333333336,SN 2021yrp
50.59,-19.86311388888889,SN 2021ynn
21.226666666666667,28.26388888888889,SN 2021ybf
42.68666666666667,52.186249999999994,SN 2021xfu
40.791666666666664,27.78383888888889,SN 2021vuw
27.821666666666665,-8.08286388888889,SN 2021txk
9.836666666666666,10.028441666666668,SN 2021rwz
25.345,37.76241666666667,SN 2021nxq
56.876666666666665,60.83475,SN 2021mkr
44.79,34.71228055555556,SN 2021lwz
20.89666666666667,2.2132972222222222,SN 2021lji
18.813333333333333,15.014119444444445,SN 2021kty
31.105,-19.517988888888887,SN 2021hpx
33.01833333333333,43.17605555555555,SN 2021hpc
38.46666666666667,48.49655277777778,SN 2021gtr
27.421666666666667,20.45442222222222,SN 2021gch
14.31,-18.182380555555557,SN 2021fpl
31.65,31.00125,SN 2021ejo
26.74,16.55171111111111,SN 2021een
53.87,12.558050000000001,SN 2021bnw
23.831666666666667,-10.044772222222223,SN 2021ek
26.47,12.451444444444444,SN 2020aewh
25.013333333333332,11.939502777777777,SN 2020adkm
15.038333333333334,-8.628805555555555,SN 2020abjx
28.005,14.121283333333334,SN 2020abjc
10.15,9.493272222222222,SN 2020zzb
19.106666666666666,23.885380555555557,SN 2020znr
58.028333333333336,-41.34773333333334,SN 2020zbf
19.763333333333332,5.1385000000000005,SN 2020xgd
46.656666666666666,-11.24275,SN 2020xga
56.075,36.42381388888889,SN 2020wfh
38.07,34.72441944444444,SN 2020vpg
19.398333333333333,-29.984911111111114,SN 2020uew
28.285,39.94736944444444,SN 2020tcw
40.00333333333333,-14.590316666666666,SN 2020rmv
7.826666666666666,62.96378055555556,SN 2020qlb
56.175,28.76478611111111,SN 2020qef
23.01,49.17796944444444,SN 2020onb
37.50833333333333,21.711891666666666,SN 2020myh
34.92166666666667,2.853238888888889,SN 2020jii
33.038333333333334,67.91347222222223,SN 2020jhm
42.666666666666664,30.244222222222223,SN 2020exj
34.208333333333336,37.09771666666667,SN 2020auv
16.243333333333332,4.324130555555556,SN 2020ank
55.60166666666667,-8.675388888888888,SN 2019aamq
37.821666666666665,20.30461111111111,SN 2019aamp
13.956666666666667,8.280172222222223,SN 2019zeu
15.018333333333333,43.41491111111111,SN 2019zbv
54.78,84.0671,SN 2019xaq
47.95,0.82665,SN 2019unb
3.2533333333333334,40.24236111111111,SN 2019ujb
10.218333333333334,-19.69235,SN 2019szu
54.385,17.49204166666667,SN 2019stc
12.656666666666666,36.473555555555556,SN 2019sgh
1.1966666666666668,14.0265,SN 2019sgg
18.446666666666665,-20.733380555555556,SN 2019pvs
12.916666666666666,-16.6353,SN 2019pud
52.36,-17.803472222222222,SN 2019otl
52.025,7.61661111111111,SN 2019nhs
54.445,47.26128333333333,SN 2019neq
4.676666666666667,42.869819444444445,SN 2019lsq
57.663333333333334,64.35516666666666,SN 2019kwu
39.376666666666665,78.76211111111111,SN 2019kwt
15.075,50.65188888888889,SN 2019kws
7.98,58.70108333333334,SN 2019kwq
8.33,8.966947222222222,SN 2019kcy
54.48,-8.347272222222223,SN 2019itq
39.21666666666667,62.72801944444445,SN 2019hno
24.35333333333333,24.78808888888889,SN 2019hge
0.34833333333333333,-21.343349999999997,SN 2019hcc
21.2,28.901633333333333,SN 2019gqi
35.776666666666664,24.062480555555556,SN 2019gfm
5.778333333333333,33.46060833333333,SN 2019fiy
0.4983333333333333,50.295361111111106,SN 2019eot
57.10166666666667,27.993908333333334,SN 2019enz
17.57,0.500775,SN 2019dlr
51.62166666666667,48.98714722222223,SN 2019cwu
17.898333333333333,65.47958888888888,SN 2019cdt
2.8566666666666665,-16.663238888888888,SN 2019cca
57.255,32.00156111111111,SN 2019bgu
3.78,6.773455555555556,SN 2019J
29.453333333333333,13.177722222222222,SN 2018lzx
39.54666666666667,27.734083333333334,SN 2018lzw
44.038333333333334,56.02902777777778,SN 2018lzv
33.49333333333333,0.05233055555555556,SN 2018lfe
14.988333333333333,48.75771944444445,SN 2018lfd
27.936666666666667,56.39321944444444,SN 2018kyt
23.643333333333334,25.99776388888889,SN 2018jfo
38.95,-20.66225,SN 2018ibb
40.89666666666667,11.777050000000001,SN 2018hti
28.688333333333333,75.81316944444444,SN 2018hpq
58.19166666666667,19.518874999999998,SN 2018gkz
57.29833333333333,-15.631477777777778,SN 2018gft
54.61833333333333,22.081058333333335,SN 2018ffs
30.996666666666666,-17.340880555555554,SN 2018ffj
9.613333333333333,33.483200000000004,SN 2018fcg
55.14333333333333,58.494994444444444,SN 2018don
28.576666666666668,11.618230555555556,SN 2018cxa
43.223333333333336,45.207836111111114,SN 2018bym
2.505,55.59883055555556,SN 2018bgv
10.606666666666667,35.72176944444445,SN 2018fd
7.376666666666667,-64.38361111111112,SN 2017jan
46.75,-27.24885,SN 2017gci
19.093333333333334,46.45391111111111,SN 2017egm
34.715,31.487980555555556,SN 2017dwh
44.43,19.178525,SN 2016inl
30.231666666666666,-10.950502777777777,SN 2016els
2.861666666666667,44.25761111111111,SN 2016eay
10.743333333333334,-10.159838888888888,SN 2016ard
58.845,66.12755,SN 2016wi
59.013333333333335,-26.127933333333335,SN 2016aj
33.693333333333335,0.7259722222222222,SN 2015bn
