51:52.6,+08:54:18.17,TDE 2025kkj
32:00.8,+46:06:15.30,TDE 2025hbw
09:38.7,+44:35:01.28,TDE 2025gmz
14:41.7,+15:42:08.26,TDE 2025eve
25:19.8,+23:30:09.54,TDE 2025cyj
34:46.7,+31:50:05.25,TDE 2025cyh
40:59.0,+16:31:53.62,TDE 2025chm
40:30.5,-04:59:28.26,TDE 2025ug
25:39.3,+17:40:50.53,TDE 2024aepd
47:16.4,+41:57:55.09,TDE 2024zau
11:12.5,+20:22:49.44,TDE 2024yqo
06:52.6,-17:20:12.61,TDE 2024ymu
26:38.3,-17:54:54.68,TDE 2024wsd
20:50.1,-20:32:32.23,TDE 2024vip
10:42.6,+28:50:15.11,TDE 2024tvd
57:28.8,+39:25:44.37,TDE 2024rny
14:06.2,+36:14:59.69,TDE 2024qab
31:11.9,+22:15:32.20,TDE 2024pvu
50:54.2,+32:52:36.21,TDE 2024lhc
31:38.9,+34:54:30.00,TDE 2024gre
45:15.6,+06:39:48.56,TDE 2024eqp
12:35.0,-35:38:34.69,TDE 2024doo
44:04.8,-04:12:04.93,TDE 2024bgz
47:43.6,+40:58:07.48,TDE 2024kt
05:06.3,+17:29:21.05,TDE 2024as
52:12.7,+37:21:34.15,TDE 2023xen
25:20.9,+30:11:21.46,TDE 2023wdb
40:44.0,+21:00:58.57,TDE 2023ugy
19:05.9,+13:26:52.80,TDE 2023tmq
21:12.5,-22:38:39.61,TDE 2023rvb
43:15.7,+19:15:00.90,TDE 2023mhs
37:28.0,-04:20:43.16,TDE 2023mfm
57:39.5,+40:32:40.02,TDE 2023lli
39:48.0,+08:09:53.62,TDE 2023kvy
14:25.7,+41:40:09.28,TDE 2023cvb
40:09.4,+15:19:38.54,TDE 2023clx
23:23.8,+10:41:07.99,TDE 2022wtn
23:56.8,-14:25:23.22,TDE 2022upj
41:55.6,-03:17:22.60,TDE 2022pna
20:08.0,-22:43:15.42,TDE 2022lri
50:35.8,+21:16:29.92,TDE 2022ibq
54:45.2,+55:26:25.37,TDE 2022hvp
18:20.8,+33:59:41.58,TDE 2022gri
53:58.2,+50:02:30.35,TDE 2022gdw
31:03.7,+53:24:19.26,TDE 2022fpx
29:50.5,+25:50:31.92,TDE 2022exr
00:08.0,+26:27:38.57,TDE 2022dyt
42:21.7,-22:40:14.04,TDE 2022dsb
20:45.0,+49:33:04.68,TDE 2022dbl
22:01.1,+16:59:44.02,TDE 2022czy
25:10.4,+18:34:57.50,TDE 2022bdw
24:10.3,-00:49:22.79,TDE 2022arb
48:43.2,+80:52:59.88,TDE 2022aee
27:51.4,+28:10:29.03,TDE 2022adm
37:57.6,+56:16:17.91,TDE 2022rz
01:06.6,+40:49:30.66,TDE 2021yzv
55:04.7,+12:38:02.96,TDE 2021yte
32:50.5,+33:01:58.40,TDE 2021uvz
18:29.1,+73:21:31.43,TDE 2021utq
32:39.9,+22:32:56.04,TDE 2021uqv
11:23.9,+50:34:29.67,TDE 2021sdu
18:59.3,-03:11:45.08,TDE 2021qxv
11:38.9,-21:09:36.64,TDE 2021qth
53:51.3,+55:35:19.67,TDE 2021nwa
19:42.9,+29:19:00.70,TDE 2021mhg
08:36.7,+30:45:40.58,TDE 2021jsg
39:30.6,-27:51:30.19,TDE 2021jjm
50:07.3,+34:49:07.82,TDE 2021gje
07:47.8,+40:18:40.57,TDE 2021ehb
45:06.9,+18:32:25.29,TDE 2021crk
32:31.3,-32:25:50.37,TDE 2021blz
46:36.4,+30:05:07.43,TDE 2021axu
53:10.0,+09:44:25.35,TDE 2021ack
04:26.3,+04:44:44.32,TDE 2021lo
13:35.7,-02:09:06.37,TDE 2020afhd
55:01.9,+16:18:16.17,TDE 2020acka
22:17.1,-07:15:59.08,TDE 2020zso
00:00.3,+21:06:45.85,TDE 2020yue
05:25.9,+61:48:09.18,TDE 2020wey
30:37.8,+26:58:56.89,TDE 2020vwl
08:53.4,+42:43:00.23,TDE 2020vdq
31:34.2,+57:16:28.81,TDE 2020ukj
58:13.0,+02:07:03.04,TDE 2020nov
21:20.1,+14:04:10.52,TDE 2020neh
31:13.6,+85:00:31.90,TDE 2020mot
31:35.0,+33:05:41.47,TDE 2020pj
38:56.4,+33:09:57.28,TDE 2019vcb
59:05.5,+47:31:05.66,TDE 2019teq
46:37.9,-10:13:34.90,TDE 2019qiz
11:12.3,-01:00:10.71,TDE 2019lwu
06:39.4,-01:32:54.42,TDE 2019gte
09:41.9,+55:29:28.10,TDE 2019ehz
57:03.0,+14:12:15.86,TDE 2019dsg
09:16.0,+16:14:22.52,TDE 2019bhf
13:16.9,+22:38:54.03,TDE 2019azh
00:11.5,-66:02:24.14,TDE 2019ahk
40:09.4,+15:19:37.34,TDE 2018meh
03:18.6,+23:01:44.70,TDE 2018lna
28:03.9,+30:41:31.42,TDE 2018iih
06:50.9,+01:41:34.08,TDE 2018hyz
07:33.6,+23:28:34.28,TDE 2018hco
50:16.1,-44:51:53.50,TDE 2018fyk
10:58.8,-60:55:23.16,TDE 2018dyb
15:26.6,+45:35:31.95,TDE 2018bsi
56:54.5,+34:15:43.61,TDE 2018zr
29:57.0,+32:53:37.51,TDE 2016fnl